id_profiles;id_entities
403;649441888
403;301120122
403;481166630
403;300241986
403;303371603
403;300190715
403;303997365
403;302684428
403;300188093
403;483238523
462;300169780
462;649441888
462;303997365
462;302684428
462;303367189
462;300191947
462;302942198
462;300265196
462;300182334
462;300241986
507;303997365
507;649441888
507;300169780
507;301725698
507;300241986
507;301120122
507;483238523
507;300228657
942;484735969
942;301120122
942;303997365
942;482647385
942;300981649
942;480384676
942;486330335
942;303664882
942;300853665
942;480718576
985;481166630
985;649441888
985;483238523
985;481572407
985;485442706
985;481599871
985;303997365
985;480785182
985;482800807
985;303371603
1199;649441888
1199;303997365
1199;300169780
1199;300548893
1199;300399527
1199;481166630
1199;300241986
1199;300464477
1199;301725698
1199;303371603
1699;300182334
1699;304083900
1699;302915632
1699;300388675
1699;300262029
1699;300842916
1699;301848441
1699;302684428
1699;303364673
1699;300136181
1773;649441888
1773;303997365
1773;301725698
1773;300548893
1773;300464477
1773;300169780
1773;300689333
1773;301120122
1773;300241986
1773;303605091
1822;366304939
1822;331281691
1822;340359349
1822;324185024
1822;322705112
1822;389683665
1822;314254657
1822;341873687
1822;537445186
1822;389989922
1900;482508103
1900;481556558
1900;482488152
1900;484735969
1900;485490358
1900;485442706
1900;481572407
1900;480785182
1900;481166630
1900;480003797
1942;303997365
1942;649441888
1942;481166630
1942;300232154
1942;303605091
1942;301120122
1942;480698377
1942;482687030
1942;304083900
1942;480469675
1954;300241986
1954;303997365
1954;649441888
1954;301120122
1954;301725698
1954;300169780
1954;300689333
1954;303371603
1954;301858465
1954;303100713
2005;302684428
2005;304083900
2005;300182334
2005;649430857
2005;301848441
2005;300842916
2005;300262029
2005;300388675
2005;301737750
2005;300005997
2078;303997365
2078;649441888
2078;300241986
2078;300169780
2078;301120122
2078;301725698
2078;300232154
2078;303605091
2078;300464477
2078;300228633
2619;303997365
2619;303664882
2619;300981649
2619;315494190
2619;389535758
2619;300853665
2619;300169780
2619;480607014
2619;302684428
2619;484735969
2891;484735969
2891;302684428
2891;480718576
2891;304083900
2891;480384676
2891;300182334
2891;482653326
2891;480123150
2891;300388675
2891;301848441
2934;480384676
2934;303605091
2934;301120122
2934;484735969
2934;480718576
2934;300689333
2934;649441888
2934;482687030
2934;303997365
2934;300464477
2992;304083900
2992;302684428
2992;301120122
2992;301380762
2992;303216311
2992;300262029
2992;300842916
2992;300388675
2992;301848441
2992;301706144
3009;649441888
3009;303997365
3009;481572407
3009;485442706
3009;300241986
3009;481166630
3009;483620907
3009;300169780
3009;303371603
3009;487759151
3093;484735969
3093;482653326
3093;302684428
3093;303453278
3093;300182334
3093;300842916
3093;301848441
3093;300388675
3093;300262029
3093;304083900
3430;649441888
3430;303997365
3430;301120122
3430;481166630
3430;300241986
3430;301725698
3430;482560146
3430;303371603
3430;487759151
3430;481599871
3687;389989922
3687;366304939
3687;331281691
3687;300232154
3687;326907990
3687;340359349
3687;328630751
3687;331840533
3687;340113164
3687;323360503
3718;300169780
3718;649441888
3718;303997365
3718;302684428
3718;303367189
3718;300191947
3718;302942198
3718;300265196
3718;300182334
3718;300241986
3738;302684428
3738;480384676
3738;484735969
3738;301380762
3738;303216311
3738;480718576
3738;649441888
3738;480123150
3738;480946995
3738;301706144
3870;480384676
3870;481200835
3870;484735969
3870;480003797
3870;304083900
3870;303605091
3870;485468081
3870;300262029
3870;301848441
3870;300842916
3882;300169780
3882;649441888
3882;303997365
3882;302684428
3882;303367189
3882;300191947
3882;302942198
3882;300265196
3882;300182334
3882;300241986
3920;302684428
3920;304083900
3920;301380762
3920;303216311
3920;301003968
3920;300411287
3920;300182334
3920;300191947
3920;302942198
3920;303367189
3938;480384676
3938;484735969
3938;302684428
3938;301848441
3938;300842916
3938;300388675
3938;300262029
3938;304083900
3938;480718576
3938;482687030
4075;300169780
4075;649441888
4075;303997365
4075;302684428
4075;303367189
4075;300191947
4075;302942198
4075;300265196
4075;300182334
4075;300241986
4144;487759151
4144;483238523
4144;483432639
4144;485442706
4144;481572407
4144;480003797
4144;481166630
4144;482800807
4144;483620907
4144;484080523
4263;303997365
4263;301725698
4263;649441888
4263;300241986
4263;300169780
4263;301120122
4263;300232154
4263;300228633
4263;303100713
4263;303605091
4266;313802811
4266;331281691
4266;340359349
4266;324185024
4266;303997365
4266;333246127
4266;366304939
4266;301725698
4266;389535758
4266;649441888
4383;484735969
4383;480384676
4383;482647385
4383;482508103
4383;300981649
4383;482653326
4383;301120122
4383;300853665
4383;481556558
4383;480468982
4550;313802811
4550;322507880
4550;314156262
4550;312558819
4550;324185024
4550;313018039
4550;340697853
4550;331281691
4550;318262169
4550;312623806
5116;301120122
5116;483620907
5116;480003797
5116;483933193
5116;481599871
5116;482647385
5116;484080523
5116;480622252
5116;481572407
5116;485442706
5599;301120122
5599;303997365
5599;480718576
5599;481166630
5599;485468081
5599;304083900
5599;484857466
5599;300169780
5599;481027860
5599;481326908
5817;303997365
5817;301725698
5817;649441888
5817;300241986
5817;300169780
5817;301120122
5817;300232154
5817;300228633
5817;303100713
5817;303605091
5897;301120122
5897;303997365
5897;300241986
5897;649441888
5897;301725698
5897;300169780
5897;300464477
5897;300981649
5897;303371603
5897;300232154
6130;303997365
6130;649441888
6130;481166630
6130;480003797
6130;481572407
6130;485442706
6130;487759151
6130;300228633
6130;480785182
6130;481599871
6140;481166630
6140;649441888
6140;303997365
6140;480469675
6140;480840987
6140;485442706
6140;481572407
6140;301120122
6140;300232154
6140;482687030
6183;480384676
6183;301120122
6183;480718576
6183;302684428
6183;303997365
6183;484857466
6183;482647385
6183;484735969
6183;480468982
6183;480873488
6419;304083900
6419;480123150
6419;300182334
6419;302684428
6419;300262029
6419;300842916
6419;300388675
6419;301848441
6419;485490358
6419;480718576
6434;322705112
6434;331281691
6434;313090153
6434;313748475
6434;332286520
6434;324185024
6434;333986227
6434;389679817
6434;340359349
6434;332115414
6442;301120122
6442;303997365
6442;303605091
6442;649441888
6442;300842916
6442;300388675
6442;301848441
6442;300262029
6442;480718576
6442;480384676
6449;482647385
6449;484735969
6449;300981649
6449;480384676
6449;486330335
6449;303997365
6449;300853665
6449;301120122
6449;480607014
6449;480131163
6735;482508103
6735;484735969
6735;481556558
6735;482647385
6735;482653326
6735;488079195
6735;485442706
6735;481572407
6735;484764514
6735;485283001
6751;482647385
6751;303664882
6751;300853665
6751;300605099
6751;342361994
6751;300197223
6751;482508103
6751;300981649
6751;480591515
6751;484735969
6820;649441888
6820;301120122
6820;301725698
6820;303997365
6820;300241986
6820;301858465
6820;648584407
6820;301847815
6820;302684428
6820;300190715
7043;485938521
7043;485468081
7043;481572407
7043;485442706
7043;480933105
7043;480210087
7043;481166630
7043;480003797
7043;480384676
7043;300197223
7305;303997365
7305;301725698
7305;649441888
7305;300241986
7305;300169780
7305;301120122
7305;300232154
7305;300228633
7305;303100713
7305;303605091
7343;303997365
7343;301725698
7343;649441888
7343;300241986
7343;300169780
7343;301120122
7343;300232154
7343;300228633
7343;303100713
7343;303605091
7564;300197223
7564;313802811
7564;481556558
7564;483462404
7564;485490358
7564;480622252
7564;484080523
7564;485283001
7564;484764514
7564;482057473
